"muni_id";"muni_id_6";"muni_nm";"uf_sigla";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"1720937";172093;"Taipas do Tocantins";"TO";NA;2166;NA;NA
"2100105";210010;"Afonso Cunha";"MA";NA;6578;NA;NA
"2100550";210055;"Amapá do Maranhão";"MA";NA;7005;NA;NA
"2101350";210135;"Bacurituba";"MA";NA;5670;NA;NA
"2101731";210173;"Belágua";"MA";NA;7528;NA;NA
"2102077";210207;"Bom Lugar";"MA";NA;16438;NA;NA
"2102754";210275;"Capinzal do Norte";"MA";NA;10935;NA;NA
"2104206";210420;"Fortuna";"MA";NA;15567;NA;NA
"2104503";210450;"Governador Archer";"MA";NA;10886;NA;NA
"2104602";210460;"Governador Eugênio Barros";"MA";NA;16882;NA;NA
"2104628";210462;"Governador Luiz Rocha";"MA";NA;7841;NA;NA
"2105609";210560;"Joselândia";"MA";NA;16198;NA;NA
"2105922";210592;"Lagoa do Mato";"MA";NA;11265;NA;NA
"2106102";210610;"Loreto";"MA";NA;12214;NA;NA
"2106631";210663;"Matões do Norte";"MA";NA;17033;NA;NA
"2107308";210730;"Nova Iorque";"MA";NA;4682;NA;NA
"2109700";210970;"Sambaíba";"MA";NA;5679;NA;NA
"2109759";210975;"Santa Filomena do Maranhão";"MA";NA;7826;NA;NA
"2110278";211027;"Santo Amaro do Maranhão";"MA";NA;16034;NA;NA
"2111250";211125;"São José dos Basílios";"MA";NA;7640;NA;NA
"2200053";220005;"Acauã";"PI";NA;7102;NA;NA
"2203230";220323;"Currais";"PI";NA;4968;NA;NA
"2203255";220325;"Curralinhos";"PI";NA;4459;NA;NA
"2203420";220342;"Domingos Mourão";"PI";NA;4354;NA;NA
"2204550";220455;"Guaribas";"PI";NA;4568;NA;NA
"2204907";220490;"Isaías Coelho";"PI";NA;8566;NA;NA
"2205565";220556;"Lagoa do Barro do Piauí";"PI";NA;4656;NA;NA
"2206050";220605;"Massapê do Piauí";"PI";NA;6449;NA;NA
"2206357";220635;"Milton Brandão";"PI";NA;6608;NA;NA
"2206696";220669;"Murici dos Portelas";"PI";NA;9209;NA;NA
"2207934";220793;"Pedro Laurentino";"PI";NA;2544;NA;NA
"2208551";220855;"Porto Alegre do Piauí";"PI";NA;2720;NA;NA
"2209203";220920;"Santa Filomena";"PI";NA;6254;NA;NA
